Date,VIX_INDIA
2020-01-01,32102.52734375
2020-01-02,32443.47265625
2020-01-03,32068.876953125
2020-01-06,31236.787109375
2020-01-07,31399.03515625
2020-01-08,31373.28515625
2020-01-09,32092.02734375
2020-01-10,32097.02734375
2020-01-13,32177.27734375
2020-01-14,32071.27734375
2020-01-15,31824.53125
2020-01-16,31853.529296875
2020-01-17,31590.283203125
2020-01-20,31080.2890625
2020-01-21,30947.19140625
2020-01-22,30701.091796875
2020-01-23,31003.689453125
2020-01-24,31241.38671875
2020-01-27,30837.041015625
2020-01-28,30761.04296875
2020-01-29,30876.640625
2020-01-30,30647.044921875
2020-01-31,30833.2421875
2020-02-03,30022.900390625
2020-02-04,30686.341796875
2020-02-05,31001.58984375
2020-02-06,31303.6875
2020-02-07,31201.5859375
2020-02-10,31057.7890625
2020-02-11,31300.236328125
2020-02-12,31492.53515625
2020-02-13,31229.88671875
2020-02-14,30834.443359375
2020-02-17,30680.341796875
2020-02-18,30562.14453125
2020-02-19,30837.83984375
2020-02-20,30942.490234375
2020-02-24,30454.74609375
2020-02-25,30432.345703125
2020-02-26,30306.498046875
2020-02-27,30186.6484375
2020-02-28,29146.8125
2020-03-02,28868.064453125
2020-03-03,29176.7109375
2020-03-04,28653.365234375
2020-03-05,28815.015625
2020-03-06,27801.126953125
2020-03-09,26462.29296875
2020-03-11,26487.4921875
2020-03-12,23970.87109375
2020-03-13,25166.15625
2020-03-16,23100.8828125
2020-03-17,22154.892578125
2020-03-18,20579.9609375
2020-03-19,20083.265625
2020-03-20,20317.36328125
2020-03-23,16917.453125
2020-03-24,17107.1015625
2020-03-25,18480.8359375
2020-03-26,19613.671875
2020-03-27,19968.767578125
2020-03-30,18782.181640625
2020-03-31,19143.77734375
2020-04-01,18208.138671875
2020-04-03,17249.099609375
2020-04-07,19062.279296875
2020-04-08,18946.228515625
2020-04-09,19913.3671875
2020-04-13,19487.7734375
2020-04-15,19056.830078125
2020-04-16,19399.775390625
2020-04-17,20681.208984375
2020-04-20,20522.412109375
2020-04-21,19409.123046875
2020-04-22,19701.62109375
2020-04-23,20267.712890625
2020-04-24,19586.421875
2020-04-27,20080.916015625
2020-04-28,20670.859375
2020-04-29,21089.953125
2020-04-30,21534.25
2020-05-04,19743.521484375
2020-05-05,19271.525390625
2020-05-06,19694.322265625
2020-05-07,19491.57421875
2020-05-08,19352.67578125
2020-05-11,18950.279296875
2020-05-12,18862.630859375
2020-05-13,19634.720703125
2020-05-14,19068.279296875
2020-05-15,18833.73046875
2020-05-18,17572.994140625
2020-05-19,17486.046875
2020-05-20,17839.9921875
2020-05-21,17734.892578125
2020-05-22,17278.69921875
2020-05-26,17440.146484375
2020-05-27,18710.333984375
2020-05-28,19169.578125
2020-05-29,19297.025390625
2020-06-01,19959.66796875
2020-06-02,20529.9609375
2020-06-03,20940.455078125
2020-06-04,20390.212890625
2020-06-05,21034.255859375
2020-06-08,21187.103515625
2020-06-09,20724.66015625
2020-06-10,21099.853515625
2020-06-11,20524.912109375
2020-06-12,20654.310546875
2020-06-15,19912.66796875
2020-06-16,20296.462890625
2020-06-17,20201.515625
2020-06-18,20956.056640625
2020-06-19,21337.8515625
2020-06-22,21708.09765625
2020-06-23,22264.642578125
2020-06-24,21426.55078125
2020-06-25,21505.900390625
2020-06-26,21591.80078125
2020-06-29,21358.751953125
2020-06-30,21369.90234375
2020-07-01,21977.34375
2020-07-02,21952.943359375
2020-07-03,21852.146484375
2020-07-06,22198.69140625
2020-07-07,22627.736328125
2020-07-08,22584.388671875
2020-07-09,22906.93359375
2020-07-10,22398.189453125
2020-07-13,22088.994140625
2020-07-14,21391.951171875
2020-07-15,21340.501953125
2020-07-16,21596.8984375
2020-07-17,21966.544921875
2020-07-20,22321.58984375
2020-07-21,22781.734375
2020-07-22,22882.333984375
2020-07-23,23083.6328125
2020-07-24,22661.787109375
2020-07-27,21848.49609375
2020-07-28,22104.94140625
2020-07-29,22076.34375
2020-07-30,21646.59765625
2020-07-31,21639.798828125
2020-08-03,21071.85546875
2020-08-04,21490.25
2020-08-05,21509.69921875
2020-08-06,21642.34765625
2020-08-07,21753.748046875
2020-08-10,21899.99609375
2020-08-11,22226.94140625
2020-08-12,22263.7421875
2020-08-13,22196.091796875
2020-08-14,21679.1484375
2020-08-17,21700.59765625
2020-08-18,22170.341796875
2020-08-19,22285.640625
2020-08-20,21999.193359375
2020-08-21,22299.33984375
2020-08-24,22832.734375
2020-08-25,23091.8828125
2020-08-26,23413.927734375
2020-08-27,23600.076171875
2020-08-28,24523.515625
2020-08-31,23754.07421875
2020-09-01,23811.72265625
