label,k,TE_val,IR_val,TE_hold,IR_hold
Autoencoder,10,0.1377118787829405,-0.8420516446585298,0.1403645271950148,-1.2071036453813795
Autoencoder,15,0.17932732373414556,0.08185093450876556,0.15091689012261308,-0.9630121446378984
Autoencoder,20,0.12938586351550077,0.6019837915483063,0.11519452799575558,0.07394332875912489
Autoencoder,25,0.12169495265751602,0.5678020078590004,0.10311120760803982,-0.0977729050643918
Autoencoder,30,0.1214560226590443,0.5677163895876468,0.10314320622761655,-0.09777500880881994
Autoencoder,35,0.10477426483230383,0.35524059769857846,0.10385932295706074,-0.014905922548440245
Autoencoder,40,0.09981229892251234,0.057671064765684094,0.10058688051313053,-0.7481382803203168
Autoencoder,45,0.09718713039140552,0.03186695801758129,0.09886321220520053,-0.8184249946849597
Autoencoder,50,0.0904017132184079,0.5275644965292697,0.09068985799101917,-1.2298115946320614
Autoencoder,55,0.0872212043402134,0.270672040836341,0.08815187845136127,-1.2149608194973964
Autoencoder,60,0.08211931743841967,0.4128806913851231,0.08341472046786384,-1.3481337184412345
Autoencoder,65,0.0820142117377752,1.2781050870808222,0.07386550714195832,-0.9982709835393374
Autoencoder,70,0.08002223493323234,1.3103046455669498,0.07711378696240047,-1.5656939565022876
Autoencoder,75,0.07773078362820598,1.2765684500647867,0.09064168713660135,-1.5767575547734218
Autoencoder,80,0.07665037581495461,1.250486259039263,0.090199941428017,-1.5297293253100444
Autoencoder,85,0.06957431527234952,1.339137456867276,0.07181645497024015,-1.9792425696660498
Autoencoder,90,0.06939862173362073,1.229979862721189,0.07216252079790876,-1.9313082751425463
Autoencoder,95,0.06977049874776663,1.3084077779770535,0.07179076232792268,-1.8666116207214818
Autoencoder,100,0.06921677692871035,1.3012867949290923,0.07371430075393151,-1.8687016051996912
