label,k,TE_val,IR_val,TE_hold,IR_hold,alpha
Lasso,9,0.29649715986873204,0.31464663093968565,0.24524253717711586,0.5680355544646077,0.00021544346900318845
Lasso,10,0.26939444805585006,0.5964706631735044,0.2322298807525915,1.3208401245398247,0.0001873817422860385
Lasso,11,0.24955625675718004,0.30904379945667326,0.20801411394105015,1.1537934115813473,0.0001629750834620645
Lasso,14,0.16313817717315593,-0.44930408886388856,0.12525742961436653,-0.1504955197466662,0.0001232846739442066
Lasso,18,0.1329195599869833,0.30485610965019155,0.12328788016979879,-2.0344378710019084,0.00010722672220103231
Lasso,21,0.1335287429613069,-1.5259056068794092,0.09603446117987911,-0.08528736022755834,9.326033468832199e-05
Lasso,27,0.09655616369272702,-1.3455539568025734,0.07285986724858194,-1.4145378923350034,8.111308307896872e-05
Lasso,29,0.08996674596790225,-1.3051730854385555,0.06426463299085522,-1.0382714376478788,7.054802310718646e-05
Lasso,35,0.08693138532581977,-1.4354914825601601,0.07121369220344213,-0.282089933385249,6.135907273413175e-05
Lasso,43,0.08207278730205553,-2.048170191303739,0.05840847048568254,2.367431039581647,5.3366992312063123e-05
Lasso,48,0.05864233184174941,-2.2923511811143578,0.06781354994967344,1.6030340765473197,4.641588833612782e-05
Lasso,52,0.05096981133299494,-1.7172440003124114,0.06250059905187534,1.069508077777434,4.03701725859655e-05
Lasso,54,0.05012892929198137,-1.4350888855518111,0.05971362058117085,0.2832664803960451,3.511191734215127e-05
Lasso,59,0.0437636972315211,-1.0099467054467823,0.053688507921010487,0.20677842328008936,3.053855508833412e-05
Lasso,62,0.038941576627680746,-1.106748194718564,0.047796071579361554,0.7872962911626576,2.656087782946684e-05
Lasso,74,0.037962399381694704,-1.404017271044219,0.041025274615319976,0.6527371961361695,2.310129700083158e-05
Lasso,84,0.03391620293720275,-1.7414901196880899,0.03739054046767961,0.17694077448795312,2.0092330025650458e-05
Lasso,96,0.032704679143741394,-2.3849452855508844,0.037541805420466395,-0.5891084360433961,1.747528400007683e-05
Lasso,107,0.030758022064799738,-1.4528843573636778,0.03730809602275843,-1.1690041362889132,1.5199110829529332e-05
Lasso,118,0.030309355372812177,-2.137544511419909,0.03805141698109457,-1.0600264441102663,1.3219411484660286e-05
Lasso,132,0.031350504950104004,-1.6264665335532542,0.03732274946936559,-1.4368557946882345,1.1497569953977357e-05
Lasso,141,0.030313235398125294,-2.288360406678006,0.039431941049237675,-1.4767671153614055,1e-05
Lasso,149,0.0299911574917323,-2.3354466699812297,0.037431929604136424,-1.2868853473994173,8.697490026177835e-06
Lasso,160,0.028861252352684108,-1.9022578683393376,0.035636318303814044,-1.5003885674560047,7.564633275546291e-06
Lasso,168,0.026985803184916363,-1.4513093518550886,0.03480014801095307,-1.3432547388161182,6.579332246575683e-06
Lasso,180,0.028055725577377486,-1.9284334494197362,0.03551032334045325,-0.6106332008506824,5.72236765935022e-06
Lasso,195,0.026736362386429683,-1.771974544059593,0.03515128906034006,-0.7421703149609236,4.977023564332114e-06
Lasso,207,0.025757377183697777,-1.5743875807043686,0.03457355460220239,-0.9026041991957692,4.328761281083061e-06
Lasso,214,0.025874193941466252,-1.675220959723914,0.035244010263492886,-0.599117520473248,3.764935806792471e-06
Lasso,224,0.02510625283215962,-1.3629839332061544,0.033645808201395726,-0.23011804744129474,3.2745491628777315e-06
Lasso,233,0.025367018696851654,-1.0930101258783558,0.033246846398044455,-0.2886553514419339,2.848035868435805e-06
Lasso,239,0.0252573071871237,-1.1042054912563444,0.033045300248538516,-0.41939776592419586,2.477076355991714e-06
Lasso,244,0.025656689924112623,-1.4303705709848267,0.03322917883243485,-0.1588536591962321,2.1544346900318865e-06
Lasso,245,0.02609369319052831,-1.551565187610975,0.03395193368451755,-0.446847574607404,1.873817422860383e-06
Lasso,246,0.027085586294899558,-1.395106697845636,0.03382589396436501,-0.3359100442882564,1.4174741629268049e-06
Lasso,247,0.02595322879399084,-1.598800641289505,0.03359255703126899,-0.46101283803956516,8.111308307896872e-07
Lasso,248,0.026590380299504706,-1.3620070789653598,0.033727338906566845,-0.5135696273897822,2.009233002565046e-07
Lasso,249,0.027897587437399174,-1.3152013122198496,0.03487436136658353,-0.5490305208912343,1.519911082952933e-07
Lasso,250,0.02808678024200091,-1.3419711783853692,0.03516088036056207,-0.6263738223419928,1.1497569953977356e-07
Lasso,251,0.025980206067944274,-1.4484411952673046,0.0334577146016415,-0.3867465173509744,9.326033468832199e-07
Lasso,252,0.026579133370355418,-1.3382090470339363,0.033224093849680864,-0.4588957334144678,1e-07
