label,k,TE_val,IR_val,TE_hold,IR_hold
GA,10,0.07412964538411312,-1.696683315697481,0.0780750994187199,-0.6499350312221234
GA,20,0.06633863186355343,0.13889044998259112,0.06423573301609031,-1.3482169290809727
GA,30,0.05247650655970634,-1.2870721632732574,0.05276655041774235,-2.094514574281388
GA,40,0.05786967047016718,-1.3764223884632714,0.056384415217153906,0.28968660329174367
GA,50,0.04676169851568709,-1.4398970157661788,0.04628346936466614,-0.09529207039763064
GA,60,0.0506694625773499,-0.530168609186272,0.05395707120019796,-0.7693428271443493
GA,70,0.03958524427336718,-0.7638932637083923,0.050272821725311036,-0.3771003162167957
GA,80,0.03502246824761416,-1.485074484214626,0.052660890722465825,-1.510155698749411
GA,90,0.03337453824245496,-1.9529684150726228,0.0395544329031433,0.4367292318588769
GA,100,0.035678370823646034,-1.4890891942335676,0.03314367416545532,-0.488252244157025
