Date,Close,High,Low,Open,Volume,Ticker,Log_Return,Return
2020-01-01,433.31646728515625,440.1990686939243,429.92295623223606,435.945225034925,5154996,BHARTIARTL,,
2020-01-02,435.1326599121094,439.14749539516856,433.50760391659384,434.08113910563276,4933053,BHARTIARTL,0.0041826175369966065,0.004191376889810083
2020-01-03,435.0370788574219,438.956335300814,431.59580806218423,435.6106438032487,5154587,BHARTIARTL,-0.00021968370264643857,-0.00021965957394876057
2020-01-06,429.8273620605469,437.2834984688203,425.04777296091777,433.88998753328985,7538915,BHARTIARTL,-0.012047621717388088,-0.011975339689567988
2020-01-07,425.47796630859375,435.2283037271959,423.56614243512666,432.07380027996186,4353883,BHARTIARTL,-0.01017048087726806,-0.010118936428575864
2020-01-08,438.6217956542969,440.4380401424602,420.93736615994624,423.08816792332976,14118818,BHARTIARTL,0.030424364829238524,0.030891915413946647
2020-01-09,439.816650390625,454.01198844693454,435.22824988597915,447.75074225994945,18180867,BHARTIARTL,0.0027204079661960878,0.0027241116336813587
2020-01-10,436.8533630371094,445.4088105949864,434.1768155394113,444.30949997203527,37724966,BHARTIARTL,-0.0067603513155126286,-0.0067375515476364445
2020-01-13,448.228759765625,449.56704838337845,434.22460809252055,438.7651898542739,15206224,BHARTIARTL,0.025706141473483102,0.02603939374400399
2020-01-14,448.65887451171875,451.81340735951954,446.03011695183835,448.2287082397522,8238486,BHARTIARTL,0.000959127459513082,0.0009595875693444444
2020-01-15,447.22503662109375,451.1920829098369,444.5006698633042,448.8023031503368,10875259,BHARTIARTL,-0.0032009484645813845,-0.003195830890864393
2020-01-16,453.0083312988281,455.92385668642765,447.3684391300821,448.51550964853055,16290593,BHARTIARTL,0.012848611139613301,0.012931509204915592
2020-01-17,478.00555419921875,481.59022405933644,454.1554556261133,454.1554556261133,61915666,BHARTIARTL,0.053711835385529594,0.055180492660522606
2020-01-20,486.274169921875,490.09784722019873,472.4612073810165,477.0017888803566,45298836,BHARTIARTL,0.017150248389934855,0.01729815825363845
2020-01-21,489.189697265625,492.29641074708485,482.1636976864349,487.5168515448389,65202963,BHARTIARTL,0.005977742740921437,0.005995645099180269
2020-01-22,491.8185119628906,500.6607569541365,484.3623749652409,492.0574899507657,20285793,BHARTIARTL,0.005359427097388928,0.005373814518089048
