Date,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
2020-01-01,459.3227233886719,605.529296875,205.76014709472656,1749.9315185546875,519.137939453125,633.1510620117188,173.3952178955078,164.08108520507812,333.4170837402344,690.5807495117188,39.25017166137695,1866.1138916015625
2020-01-02,460.6075744628906,609.3892211914062,211.37701416015625,1751.286865234375,522.861572265625,631.3037719726562,174.6696319580078,170.8356475830078,332.91912841796875,688.2584838867188,40.685081481933594,1857.5478515625
2020-01-03,469.843017578125,600.6988525390625,207.82447814941406,1741.708251953125,521.1689453125,641.013427734375,173.68650817871094,169.20863342285156,330.04119873046875,681.915283203125,40.58858108520508,1894.5670166015625
2020-01-06,467.3936767578125,587.6987915039062,200.9593963623047,1730.864501953125,508.4505310058594,634.86962890625,171.2104949951172,164.57412719726562,329.13494873046875,673.6469116210938,39.711692810058594,1894.3948974609375
2020-01-07,469.2005310058594,597.0047607421875,200.52732849121094,1735.6087646484375,505.74237060546875,625.460693359375,171.3925323486328,165.0178680419922,332.77972412109375,667.7640380859375,39.95084762573242,1899.0439453125
2020-01-08,470.4051208496094,595.4419555664062,199.13511657714844,1743.42529296875,508.69232177734375,617.1257934570312,170.55506896972656,172.2654266357422,329.5930480957031,672.4600830078125,39.8795166015625,1941.5731201171875
2020-01-09,466.0284729003906,602.1194458007812,202.35162353515625,1748.576171875,528.3745727539062,625.1599731445312,171.72023010253906,173.94174194335938,331.62457275390625,684.2445678710938,40.54243087768555,1906.361572265625
2020-01-10,466.0685119628906,607.4710693359375,203.0717315673828,1765.6998291015625,522.523193359375,634.2681274414062,173.3223876953125,174.188232421875,335.5382080078125,686.225830078125,40.798362731933594,1905.6729736328125
2020-01-13,471.0074768066406,609.0338745117188,202.78367614746094,1802.61328125,520.92724609375,664.6861572265625,174.23268127441406,175.56875610351562,336.8128356933594,684.93603515625,41.5997314453125,1885.699951171875
2020-01-14,477.2716369628906,610.6915283203125,203.5037841796875,1815.2188720703125,519.9600219726562,666.4907836914062,177.14564514160156,171.57518005371094,333.96478271484375,694.76513671875,41.83888244628906,1899.9476318359375
2020-01-15,478.4360656738281,608.2052612304688,205.1360626220703,1826.8304443359375,518.025634765625,659.5306396484375,176.5266571044922,177.63946533203125,333.72576904296875,694.3727416992188,42.132572174072266,1917.16552734375
2020-01-16,476.42840576171875,609.8153686523438,201.2954559326172,1851.77099609375,519.52490234375,659.05810546875,175.32504272460938,176.50550842285156,338.8941650390625,717.488525390625,41.486446380615234,1927.4111328125
2020-01-17,480.88543701171875,605.3162841796875,201.67950439453125,1861.756103515625,514.5921020507812,659.7883911132812,174.7424774169922,174.48406982421875,338.2070617675781,721.4393310546875,41.55777359008789,1910.450927734375
2020-01-20,473.21600341796875,594.3053588867188,199.03909301757812,1864.0604248046875,517.3001708984375,660.3040771484375,176.16253662109375,176.8013458251953,322.2337646484375,720.4019775390625,41.171775817871094,1868.4814453125
2020-01-21,469.0399475097656,589.3089599609375,196.97476196289062,1857.3280029296875,513.6249389648438,655.1913452148438,173.65008544921875,183.21075439453125,323.66778564453125,714.0236206054688,39.955039978027344,1869.083984375
2020-01-22,474.34033203125,587.6514282226562,195.48655700683594,1853.9847412109375,505.6939392089844,661.8076171875,173.35877990722656,176.6533966064453,315.78076171875,726.5442504882812,39.86274337768555,1899.9476318359375
2020-01-23,481.005859375,589.5457763671875,196.4467010498047,1858.68359375,510.3848571777344,673.9664306640625,173.24954223632812,177.49156188964844,319.8338623046875,726.55126953125,40.29907989501953,1890.4991455078125
2020-01-24,489.6681213378906,589.4037475585938,197.2147979736328,1873.8646240234375,516.3330078125,672.5914306640625,173.43162536621094,186.3168487548828,327.22296142578125,736.2073974609375,40.56340408325195,1883.9847412109375
