Date,Close,High,Low,Open,Volume,Ticker,Log_Return,Return
2020-01-01,1749.9312744140625,1752.958424189976,1733.1688310132904,1744.0124316244267,543035,HUL,,
2020-01-02,1751.2869873046875,1764.4347888346845,1744.0126933470121,1753.0490285457015,663275,HUL,0.0007744235617661822,0.0007747235051154266
2020-01-03,1741.7081298828125,1753.0487730269222,1733.8465635285602,1751.151164973152,1598825,HUL,-0.005484623431968406,-0.005469610344457143
2020-01-06,1730.8646240234375,1743.4703766627408,1727.069407708035,1741.6178839928325,683129,HUL,-0.006245249198239825,-0.006225788163545243
2020-01-07,1735.608642578125,1744.91611080301,1733.168876499313,1734.2984182592838,808935,HUL,0.002737088188220448,0.002740837433987231
2020-01-08,1743.42529296875,1749.4797036785671,1722.732063498574,1725.9400065864254,1889685,HUL,0.004493582809732177,0.0045036940925886615
2020-01-09,1748.5760498046875,1759.6455601892274,1744.9162900038039,1754.4496675597493,1544334,HUL,0.002950033557148019,0.002954389188174922
2020-01-10,1765.699951171875,1768.8626685869729,1745.503763453972,1753.8623737653024,1003336,HUL,0.009745413785390266,0.009793054965553383
2020-01-13,1802.61328125,1805.3241817738158,1768.410775035888,1772.0253090676424,2040089,HUL,0.020690250269908998,0.02090577736813448
2020-01-14,1815.21875,1820.7760069562394,1791.3628070728678,1803.200382107779,1610737,HUL,0.006968548927597322,0.006992885762640677
2020-01-15,1826.8306884765625,1831.6651056432152,1804.8723502901278,1817.3425367206405,1559491,HUL,0.006376617351861033,0.006396991258801554
2020-01-16,1851.770751953125,1856.6955098790252,1821.8152825684756,1827.1467417100007,2468958,HUL,0.01355974329723204,0.013652093559562761
2020-01-17,1861.7559814453125,1865.008929392799,1843.457404669706,1856.9666801911935,994719,HUL,0.005377773891945115,0.005392260074124078
2020-01-20,1864.0601806640625,1875.8524196207613,1852.448403644552,1861.9365540046824,829399,HUL,0.001236883094740769,0.0012376483501137514
2020-01-21,1857.3280029296875,1875.0393058229097,1854.3911943783985,1861.2588964668619,750000,HUL,-0.003618104183872731,-0.0036115667317010436
