Date,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,ITC,JINDALSTEL,KOTAKBANK,NESTLEIND,TATASTEEL,TCS
2024-01-01,0.3609999821312001,0.0,2.0220005220811246e-17,2.0794688918393905e-17,0.0,1.0825793873413342e-17,0.26802427715149574,0.1607871209555185,1.3742209588753508e-17,0.12060858625429907,0.08958003350748653,1.6826247833020952e-18
2024-01-02,0.36148872562093276,0.0,1.9861731390814596e-17,2.05040875134524e-17,0.0,1.0770161997007567e-17,0.2686091717574077,0.15821766907708917,1.3604604563207988e-17,0.12289143329762928,0.08879300024694091,1.672628299758403e-18
2024-01-03,0.3591564097313916,0.0,2.013969415543328e-17,2.0251367599669225e-17,0.0,1.0686024331436052e-17,0.2707789544813121,0.15854515154146656,1.3332192202856808e-17,0.12260616278129724,0.08891332146453225,1.6656106657364806e-18
2024-01-04,0.3554881543489774,0.0,1.9584009222015673e-17,2.0431045330042775e-17,0.0,1.0497996048369103e-17,0.27795993903169863,0.15797955986368098,1.3494040316398042e-17,0.12135914437540672,0.08721320238023628,1.644330419766154e-18
2024-01-05,0.3513040171248975,0.0,1.9511850995057644e-17,2.0333866077143614e-17,0.0,1.0664518046842508e-17,0.277636359860451,0.16087376148479712,1.3485734674377039e-17,0.12362799786608963,0.08655786366376463,1.6342267358172936e-18
2024-01-08,0.3554374515325246,0.0,1.9448416182468483e-17,2.0604875167208226e-17,0.0,1.08335463802537e-17,0.27695212063224733,0.15931473156927758,1.3405945084776478e-17,0.12189270147694477,0.08640299478900561,1.6703990873366463e-18
2024-01-09,0.3622403921608365,0.0,1.9301523253851287e-17,2.044871726758945e-17,0.0,1.0856243162767347e-17,0.27432949908588716,0.15660885511660852,1.3362714612348452e-17,0.12075866640018118,0.08606258723648669,1.6577554131518708e-18
2024-01-10,0.36362105050058563,0.0,1.9152721478798922e-17,2.0362801058277163e-17,0.0,1.0850461811886641e-17,0.27246087459643953,0.1582399741444977,1.3302839393863472e-17,0.11895629106316777,0.08672180969530935,1.6550334395308144e-18
2024-01-11,0.3687787974026035,0.0,1.914705395828953e-17,2.019447293190218e-17,0.0,1.0704376493721459e-17,0.26972726363136623,0.1577006196392537,1.3162612645445318e-17,0.11742012499529546,0.08637319433148123,1.6531560853672607e-18
2024-01-12,0.36782293719053666,0.0,1.9088752985823174e-17,1.9917603902678946e-17,0.0,1.0547703891143829e-17,0.26997152636552585,0.15837872263848943,1.3207894806795649e-17,0.11673747665383663,0.08708933715161145,1.6670185559342756e-18
2024-01-15,0.3753546225391522,0.0,1.893757095024564e-17,1.964696239940494e-17,0.0,1.1195434272759245e-17,0.2678106399301568,0.15648125172208863,1.3062582368567185e-17,0.11445698209416601,0.08589650371443636,1.7039447008671954e-18
2024-01-16,0.3824890196997555,0.0,1.848356362945924e-17,1.964581717142941e-17,0.0,1.1337791876661204e-17,0.26526675111956827,0.15451786310535312,1.3042153721123046e-17,0.11306058535490021,0.08466578072042281,1.693621577971448e-18
2024-01-17,0.3749392203642364,0.0,1.8657964293976476e-17,1.963218432070168e-17,0.0,1.120685046560392e-17,0.2681743904072037,0.1577499747808657,1.3029227003882189e-17,0.11291813716213167,0.08621827728556244,1.6766922973070602e-18
2024-01-18,0.38277620030418885,0.0,1.817467483918531e-17,1.9734707121168892e-17,0.0,1.1352497779551367e-17,0.26696573977476307,0.15309521756604486,1.2643366277069107e-17,0.11382940665573846,0.08333343569926462,1.699720680055182e-18
2024-01-19,0.38282195582939355,0.0,1.8099170586637635e-17,1.9726844319477098e-17,0.0,1.1431036440387943e-17,0.26778708932166717,0.15341752110034249,1.2695090639719215e-17,0.11259976325689607,0.08337367049170072,1.7168977329344536e-18
2024-01-23,0.38161693155301174,0.0,1.7970480004066047e-17,1.9642459571046262e-17,0.0,1.1419185801312456e-17,0.2682466213629851,0.15373845983642623,1.2463565591668102e-17,0.11189841457415006,0.08449957267342673,1.7275094742350244e-18
2024-01-24,0.3822686923159164,0.0,1.8002500374918e-17,1.8749643285965326e-17,0.0,1.1650305296666345e-17,0.26936246274961556,0.1509594037210107,1.299494566803056e-17,0.1129971702425017,0.08441227097095562,1.742475068062679e-18
2024-01-25,0.3862687413007016,0.0,1.835345991652868e-17,1.8821396494948024e-17,0.0,1.1608673228354526e-17,0.2655361551000312,0.14990734558420918,1.2720692994926924e-17,0.11264632824753315,0.08564142976752477,1.6945349747427307e-18
2024-01-29,0.38414462334728333,0.0,1.8627749253323424e-17,1.892956768309673e-17,0.0,1.1695434175597971e-17,0.2639256078418718,0.15374414414600343,1.2718852269170043e-17,0.1124756111264244,0.08571001353841701,1.6995928137180457e-18
2024-01-30,0.3873467386067597,0.0,1.8515965497921028e-17,1.8917379793017734e-17,0.0,1.152396782512638e-17,0.2586544506860764,0.1557122656953728,1.3016092950180802e-17,0.11240064121263836,0.08588590379915269,1.6831931782970745e-18
2024-01-31,0.3609999821312001,0.0,2.0220005220811246e-17,2.0794688918393905e-17,0.0,1.0825793873413342e-17,0.26802427715149574,0.1607871209555185,1.3742209588753508e-17,0.12060858625429907,0.08958003350748653,1.6826247833020952e-18
2024-02-01,0.36129889145541066,0.0,2.037755987079121e-17,2.0783169083429726e-17,0.0,1.0781292284457203e-17,0.26752436247090294,0.16155146928502734,1.3620161531909333e-17,0.12009791404226657,0.08952736274639252,1.6729245659561348e-18
2024-02-02,0.36328578028612996,0.0,2.0185220210859286e-17,2.0812024238089996e-17,0.0,1.0805852475510234e-17,0.26957845647663065,0.15914472800558704,1.3664165476121782e-17,0.11881204846144289,0.0891789867702093,1.6974556415920642e-18
2024-02-05,0.36107088530531134,0.0,2.0410207798205287e-17,2.0427295519037177e-17,0.0,1.0931239676641095e-17,0.26517352470657496,0.16465922183383375,1.3527890122891855e-17,0.11826237546144337,0.09083399269283648,1.7292376587912784e-18
2024-02-06,0.3579869393570994,0.0,2.0478254996047938e-17,2.0344312105498653e-17,0.0,1.0995691248004605e-17,0.2664622836863995,0.16347037970885506,1.3547872089388274e-17,0.1184934975669285,0.09358689968071747,1.7488547656180436e-18
2024-02-07,0.367362418170113,0.0,2.0302890055364778e-17,2.0054286671606402e-17,0.0,1.1078994543649073e-17,0.25794589048051453,0.1644963460019482,1.3159807243450559e-17,0.11618837773840043,0.09400696760902374,1.7894488771995596e-18
2024-02-08,0.36542839641759356,0.0,2.055613593333381e-17,2.0045006905271363e-17,0.0,1.0849301972602644e-17,0.25816136298065856,0.1643654538987287,1.3199835396236107e-17,0.11820890090513377,0.09383588579788542,1.7665291139024427e-18
2024-02-09,0.37229900448589087,0.0,2.102252611541977e-17,2.0121339238342633e-17,0.0,1.0917818295158298e-17,0.25346651030274736,0.16478003232000926,1.2829603214131311e-17,0.11542483356367964,0.0940296193276727,1.801512220143663e-18
2024-02-12,0.37294422094962126,0.0,2.074937516301064e-17,2.025508851346958e-17,0.0,1.0810871666420613e-17,0.25498710235906324,0.162090047745495,1.297197848317697e-17,0.11714512997621139,0.09283349896960906,1.8080013228641106e-18
2024-02-13,0.3823860762447315,0.0,2.049929431951598e-17,1.9992377362152374e-17,0.0,1.0912682028558584e-17,0.2504174099911303,0.15873729329186956,1.276470580993097e-17,0.11792091932894029,0.09053830114332836,1.8076477420346778e-18
2024-02-14,0.38270403046322626,0.0,1.7982431876325466e-17,2.0095313616841098e-17,0.0,1.095955980538541e-17,0.2507671564037141,0.15751179331130108,1.2992092970985996e-17,0.11803297794961563,0.09098404187214283,1.8232717412184124e-18
2024-02-15,0.37929225434387936,0.0,1.7679132929128867e-17,1.9795709347580475e-17,0.0,1.0705613140538625e-17,0.25057683065233216,0.16011839390914387,1.2917975207564918e-17,0.11797427079460139,0.09203825030004323,1.7792021214496314e-18
2024-02-16,0.37971350882112476,0.0,1.798327308021119e-17,1.9614829072362378e-17,0.0,1.0840839250772517e-17,0.2475175327610322,0.16265777382746663,1.2929829626303286e-17,0.1174746880421732,0.09263649654820315,1.7921208569366906e-18
2024-02-19,0.37900717975547243,0.0,1.7984254264416267e-17,1.972341929331234e-17,0.0,1.0951702900870257e-17,0.24675796090233446,0.16278775389114578,1.2838258130594534e-17,0.11853643532757688,0.09291067012347044,1.7944405359389757e-18
2024-02-20,0.3794977958263639,0.0,1.7805520418517722e-17,1.975547899184772e-17,0.0,1.0902635355362915e-17,0.24875341057169686,0.16002575952931516,1.2766637050962253e-17,0.11935299675966246,0.09237003731296166,1.777784169057826e-18
2024-02-21,0.37817545295925126,0.0,1.784922175598453e-17,1.9971873853274997e-17,0.0,1.085098582512849e-17,0.24778312794315055,0.16084964662228815,1.3045677023751109e-17,0.1210562252072789,0.09213554726803107,1.7527754978050177e-18
2024-02-22,0.3733114143240943,0.0,1.7914690525722996e-17,2.0062299033208197e-17,0.0,1.0694672260218188e-17,0.2469113942650718,0.16381842343094483,1.2966623455401747e-17,0.12165366216000435,0.09430510581988462,1.7414366909941068e-18
2024-02-23,0.3760688294035228,0.0,1.7830776686914807e-17,1.945528240716516e-17,0.0,1.0616508945536434e-17,0.24798740660199106,0.1626578806042826,1.2519367255490209e-17,0.11982537917823008,0.09346050421197333,1.742951445390644e-18
2024-02-26,0.37347527724420987,0.0,1.7831006642465405e-17,1.9609771880145534e-17,0.0,1.0645427919120656e-17,0.24749536886751988,0.16413337013224638,1.2581684887136351e-17,0.12121921358267838,0.09367677017334528,1.7373826373077007e-18
2024-02-27,0.37350533522241436,0.0,1.7542868762281968e-17,1.9884899006127582e-17,0.0,1.0642157293736325e-17,0.24857181690953414,0.16252019320293573,1.2573910640426571e-17,0.12263354307610685,0.0927691115890088,1.7322189791163353e-18
2024-02-28,0.3733238723249119,0.0,1.7598048675222074e-17,1.977603841422606e-17,0.0,1.0601260429327387e-17,0.24828058663581729,0.1625653307355704,1.2502911148713849e-17,0.12260720518070171,0.09322300512299878,1.766463681009369e-18
2024-02-29,0.3609999821312001,0.0,2.0220005220811246e-17,2.0794688918393905e-17,0.0,1.0825793873413342e-17,0.26802427715149574,0.1607871209555185,1.3742209588753508e-17,0.12060858625429907,0.08958003350748653,1.6826247833020952e-18
2024-03-01,0.3610767546496663,0.0,2.005715905245882e-17,2.057085271263307e-17,0.0,1.0767373795302544e-17,0.26485213887692466,0.16410586991300782,1.369383146833572e-17,0.12094645530316671,0.08901878125723453,1.661220260834151e-18
2024-03-04,0.3519869823325887,0.0,2.03860092060829e-17,2.0272015703478337e-17,0.0,1.0500563778855208e-17,0.26334415667848493,0.17161538101240473,1.3815322771842713e-17,0.11955935561670555,0.09349412435981601,1.6385539413120817e-18
2024-03-05,0.34952227598786056,0.0,2.0548256500340767e-17,2.030878379278581e-17,0.0,1.0355495297221616e-17,0.2622255808762586,0.17450432019148707,1.3766106506319503e-17,0.11860218777308952,0.09514563517130405,1.6277444216856405e-18
2024-03-06,0.3497735908419129,0.0,2.0686297116335293e-17,2.0368824837152135e-17,0.0,1.0285417868892296e-17,0.2635142359851692,0.17347933252422232,1.3841460573910888e-17,0.11771147021848997,0.0955213704302055,1.6199269363770486e-18
2024-03-07,0.3525838013238112,0.0,2.072812308220336e-17,2.0230157653889115e-17,0.0,1.0281592869487833e-17,0.26271180170445196,0.1734209067547481,1.409460836453093e-17,0.11660607539222952,0.09467741482475901,1.6291867242196517e-18
2024-03-11,0.34807142765731597,0.0,2.0924816713382234e-17,2.0207726849997034e-17,0.0,1.0183672670038091e-17,0.26402598500954205,0.1737186093217956,1.3876992576039069e-17,0.1168471123171758,0.09733686569417048,1.6323695665040804e-18
2024-03-12,0.34996806043876616,0.0,2.090846893112538e-17,2.0056187232747828e-17,0.0,1.0132577321390257e-17,0.26264031728708104,0.17221797454504867,1.3797317695265878e-17,0.11972968421045854,0.09544396351864551,1.6457519737013837e-18
2024-03-13,0.352731990699538,0.0,2.0924987946272254e-17,2.0153132903842424e-17,0.0,1.0310591744779212e-17,0.2620016393168668,0.16957396402443348,1.3857308389236112e-17,0.11991191371108145,0.09578049224808016,1.6900218101869889e-18
2024-03-14,0.35331019122083845,0.0,2.0140013372361505e-17,1.9679093737841422e-17,0.0,1.034349346653371e-17,0.2747993400895939,0.1612178631187127,1.3989313878464927e-17,0.12007556054453399,0.09059704502632082,1.6795377047243328e-18
2024-03-15,0.35904824431683474,0.0,2.0600905676553134e-17,1.961487152198942e-17,0.0,1.0478136425833949e-17,0.26952310464747037,0.16280176193573287,1.3914883929573902e-17,0.11992367942941906,0.08870320967054289,1.6817025204400761e-18
2024-03-18,0.35611786608914514,0.0,2.1118554723563054e-17,1.977350214204893e-17,0.0,1.047051372162585e-17,0.2721510452620709,0.1616880666775366,1.4035892151169778e-17,0.12082958247987824,0.08921343949136913,1.7050361085653625e-18
2024-03-19,0.3515770149452207,0.0,2.0843814083162492e-17,1.9334419163524076e-17,0.0,1.0162739617520734e-17,0.2682581924372812,0.16839362160464943,1.3886609327556207e-17,0.11850193395937031,0.09326923705347827,1.6605965076972793e-18
2024-03-20,0.34976047431792934,0.0,2.1410204554716208e-17,1.9483144985444766e-17,0.0,1.0122889696688361e-17,0.26906662320190977,0.16922943197152177,1.4293117675047572e-17,0.11719375991329731,0.0947497105953418,1.6260998373770876e-18
2024-03-21,0.3473196290731303,0.0,2.1189381492148216e-17,1.92790882284683e-17,0.0,1.0086404043123148e-17,0.2732601937979754,0.16678738511540736,1.4429868069735317e-17,0.11980566499367203,0.09282712701981487,1.6243936299049628e-18
2024-03-22,0.3434180520967731,0.0,2.1304915175937794e-17,1.8961973399101505e-17,0.0,9.917132295994006e-18,0.2723051523402712,0.1722327499208711,1.4244240752198853e-17,0.11797110138628059,0.094072944255804,1.5982143128155626e-18
2024-03-26,0.33493575465695336,0.0,2.1602350953751534e-17,1.9064106042533803e-17,0.0,9.615609992372915e-18,0.27679575323122446,0.17444794333619534,1.4264971024901257e-17,0.11877164994976334,0.09504889882586338,1.5717732820229818e-18
2024-03-27,0.33514614408211635,0.0,2.198398055596212e-17,1.8882838907971278e-17,0.0,9.491537941931634e-18,0.2755773365707078,0.17496453000167853,1.4051840750518148e-17,0.11909640065867183,0.09521558868682532,1.55493694225314e-18
2024-03-28,0.3333001238459268,0.0,2.2050292403395214e-17,1.8971219245028398e-17,0.0,9.481012988907806e-18,0.27713088495409366,0.174946023331685,1.4295825361561148e-17,0.11876057203839983,0.09586239582989463,1.5476764959964334e-18
