Date,ITC,HINDUNILVR,NESTLEIND,HCLTECH,INFY,TCS,HINDALCO,JINDALSTEL,TATASTEEL,KOTAKBANK,HDFCBANK,ICICIBANK
2024-01-01,0.1632465026457766,0.12434058656291219,0.14119450268309192,0.11015121741400082,0.06448249130722031,0.08498407556323034,0.0460140415476402,0.01976423783016205,0.03196927052073802,0.09715922359035094,0.06870463549933992,0.047989214835536746
2024-01-02,0.16414821427120171,0.12301172341578324,0.14434666127009338,0.11066809905219958,0.06436501319148044,0.08476084665957949,0.045349425899487594,0.019513239133871495,0.031794046796092074,0.09650703280749753,0.06776098328859327,0.047774714214120086
2024-01-03,0.16609381677603177,0.12195051722267974,0.14455085588128644,0.11036580827867741,0.06410132681508031,0.08472129239606811,0.046156279398373766,0.019626849106548022,0.03195634829175572,0.09492876689021765,0.06826904064850448,0.04727909829477658
2024-01-04,0.1704561526030308,0.1230018922964104,0.14304503510888705,0.10921140044070345,0.06295774743543872,0.08361805973996163,0.04487158840916101,0.01955196600667896,0.03133750824203079,0.09605725962014154,0.06798440710753402,0.04790698299002169
2024-01-05,0.16992788752222235,0.12217968671338095,0.14543701811205184,0.10771688885124582,0.06383249978368294,0.0829432691802723,0.044619649254859284,0.01987158886758248,0.031041778774341767,0.09581216264571524,0.06862313009066995,0.047994440203975176
2024-01-08,0.1690687775617667,0.12348648730914306,0.14302311374877982,0.10870118351491606,0.06467577875431935,0.0845589307268584,0.044359058681623334,0.01962789444730058,0.030905748557596074,0.0949978702632156,0.06827803819918905,0.04831711823529195
2024-01-09,0.1680959349434376,0.12301030697813849,0.14222397668431072,0.11119722377644402,0.06505438341038214,0.08423366091188919,0.0441891501676192,0.019366898446379347,0.03089945731423164,0.09504671451732909,0.06834705722323271,0.048335235626605945
2024-01-10,0.16779990351737442,0.12311637228708254,0.14081365916016833,0.11218865623022688,0.06535037519623342,0.0845229904841187,0.044071457969392804,0.01966811883939624,0.0312944732658577,0.09510199416442718,0.06783398904618483,0.0482380098395369
2024-01-11,0.16696700061813566,0.12272387321709652,0.139706993369053,0.1143626239843358,0.064800667113412,0.08485944363814124,0.04428402882232399,0.019701453087870826,0.0313282787294825,0.09458137324953088,0.06790286019058672,0.04878140398003109
2024-01-12,0.16752886613331897,0.1213387481632709,0.1392360831292762,0.11434649680797841,0.06400912913234864,0.08578130365656494,0.044257676473516944,0.019834788921647514,0.03166565136134266,0.09513996863062078,0.06794074023793814,0.04892054735217584
2024-01-15,0.16639825809217387,0.11984146072458193,0.13668883684457112,0.11683557106961086,0.0680258841519983,0.08779240888389349,0.0439627231594695,0.019621957011271847,0.03127146222567064,0.09421232157067595,0.066580187939458,0.04876892832662455
2024-01-16,0.1652042656103841,0.12011555932534303,0.13533791354597927,0.11933553353226206,0.0690524705042823,0.08746520885337919,0.04300941245245083,0.01942120586697396,0.030895704980320706,0.09428562156038045,0.06724551545135155,0.04863158831689241
2024-01-17,0.16715950843730046,0.12013599166793892,0.13528426828149295,0.11708116195119075,0.06831399168270347,0.08666578464538562,0.04345276385443618,0.019844590511873338,0.03148943569252895,0.09427361251591512,0.06761999885709506,0.04867889190213914
2024-01-18,0.16745277767940123,0.12152293272702751,0.13723380526607998,0.12028019415747312,0.06963708007568392,0.08840867955264307,0.04259345199940378,0.019380166736496902,0.030627240293062612,0.09205709369372143,0.06278201871120252,0.048024559107803816
2024-01-19,0.16807709969501067,0.12155344148552322,0.1358395383215709,0.12037273185345738,0.07016440099818186,0.08936014372995385,0.04244406279725637,0.019433585339750828,0.03066193691506582,0.09249375945708721,0.06105539153143317,0.04854390787570879
2024-01-23,0.16899489464273815,0.12148591346799671,0.13549805658089506,0.12044237975551236,0.07035367134433494,0.0902485603721141,0.04229980508403549,0.01954703587773522,0.031192170090756397,0.09114636285256116,0.059975487309359414,0.048815662621960805
