,Promoter_Holding
2023-03-31,15.14
2023-06-30,14.94
2023-09-30,14.89
2023-12-31,14.78
2024-03-31,14.71
2024-06-30,14.61
2024-09-30,14.43
2024-12-31,14.43
2025-03-31,14.6
2025-06-30,14.61
2025-09-30,14.3
2025-12-31,14.52
