Quarter,Revenue,EBITDA_Margin,EPS
2022-12-31,38318,24,15.7
2023-03-31,37441,24,14.77
2023-06-30,37933,24,14.32
2023-09-30,38994,24,14.97
2023-12-31,38821,24,14.71
2024-03-31,37923,23,19.2
2024-06-30,39315,24,15.34
2024-09-30,40986,24,15.67
2024-12-31,41764,24,16.39
2025-03-31,40925,24,16.93
2025-06-30,42279,24,16.66
2025-09-30,44490,24,17.73
2025-12-31,45479,23,16.41
