,Promoter_Holding
2023-03-31,50.41
2023-06-30,50.39
2023-09-30,50.27
2023-12-31,50.3
2024-03-31,50.31
2024-06-30,50.33
2024-09-30,50.24
2024-12-31,50.13
2025-03-31,50.1
2025-06-30,50.07
2025-09-30,50.01
2025-12-31,50.0
