Quarter,Revenue,EBITDA_Margin,EPS
2022-12-31,30621,17,21.53
2023-03-31,32456,17,21.2
2023-06-30,33892,18,28.21
2023-09-30,34436,17,18.88
2023-12-31,35299,18,21.38
2024-03-31,35452,19,22.15
2024-06-30,37218,19,26.4
2024-09-30,37924,19,25.5
2024-12-31,41470,20,25.58
2025-03-31,42599,19,26.5
2025-06-30,45529,18,32.84
2025-09-30,46106,19,29.54
2025-12-31,52100,20,37.59
