,Promoter_Holding
2023-03-31,61.9
2023-06-30,61.9
2023-09-30,61.9
2023-12-31,61.9
2024-03-31,61.9
2024-06-30,61.9
2024-09-30,61.9
2024-12-31,61.9
2025-03-31,61.9
2025-06-30,61.9
2025-09-30,61.9
2025-12-31,61.9
