Quarter,Revenue,EBITDA_Margin,EPS
2022-12-31,35804,51,2.85
2023-03-31,36009,52,5.39
2023-06-30,37440,52,2.89
2023-09-30,37044,53,2.39
2023-12-31,37900,52,4.34
2024-03-31,37599,52,3.66
2024-06-30,38506,51,7.31
2024-09-30,41473,53,6.31
2024-12-31,45129,54,25.95
2025-03-31,47876,56,19.33
2025-06-30,49463,56,10.43
2025-09-30,52145,57,11.91
2025-12-31,53982,57,11.63
