,Promoter_Holding
2023-03-31,19.37
2023-06-30,19.37
2023-09-30,19.33
2023-12-31,19.33
2024-03-31,18.58
2024-06-30,18.55
2024-09-30,18.53
2024-12-31,18.48
2025-03-31,18.45
2025-06-30,18.43
2025-09-30,18.43
2025-12-31,18.43
