Quarter,Revenue,EBITDA_Margin,EPS
2022-12-31,216737,16,11.67
2023-03-31,212834,18,14.26
2023-06-30,207559,18,11.83
2023-09-30,231886,18,12.85
2023-12-31,225086,18,12.76
2024-03-31,236533,18,14.01
2024-06-30,231784,17,11.19
2024-09-30,231535,17,12.24
2024-12-31,239986,18,13.7
2025-03-31,261388,17,14.34
2025-06-30,243632,18,19.95
2025-09-30,254623,18,13.42
2025-12-31,264905,17,13.78
