,Promoter_Holding
2023-03-31,25.59
2023-06-30,25.52
2023-09-30,0.0
2023-12-31,0.0
2024-03-31,0.0
2024-06-30,0.0
2024-09-30,0.0
2024-12-31,0.0
2025-03-31,0.0
2025-06-30,0.0
2025-09-30,0.0
2025-12-31,0.0
