Quarter,Debt_Equity
2014-03-31,1.5088599991418887
2015-03-31,1.4661793711567468
2016-03-31,1.5685112486788464
2017-03-31,1.6375176304654442
2018-03-31,1.52
2019-03-31,1.771953080059025
2020-03-31,2.053891766118742
2021-03-31,1.9389399259294888
2022-03-31,1.6468603442055896
2023-03-31,1.6365716921548452
2024-03-31,1.6414413053331318
2025-03-31,1.6748010747803062
2025-09-30,1.5294891603495726
