ticker,fold,MAE,RMSE,DirectionalAccuracy,PseudoSharpe
RELIANCE,2,0.01427174739556013,0.01855760986757941,0.43162393162393164,-0.5041532281402223
RELIANCE,3,0.008892683065177901,0.011502858425689088,0.4829059829059829,-0.3523199485311937
RELIANCE,4,0.009785061542239158,0.014138957489401817,0.5213675213675214,0.33576050150627235
RELIANCE,5,0.010048123946686412,0.013342384380030563,0.452991452991453,-1.3595818630571594
HDFCBANK,2,0.012159781463949505,0.01697106728757356,0.5213675213675214,0.8352080799372018
HDFCBANK,3,0.007829372089728722,0.011215716417594045,0.5512820512820513,-0.3261823272393521
HDFCBANK,4,0.010006215141368822,0.014397318773167085,0.4658119658119658,0.8552352845252479
HDFCBANK,5,0.008307294788795955,0.010841290913162412,0.4444444444444444,0.5911821257027694
INFY,2,0.014321861955111358,0.01890614469097225,0.5512820512820513,0.6031354419984736
INFY,3,0.010444085308838684,0.015166516604955806,0.5128205128205128,-0.35632378447953555
INFY,4,0.010582605890790988,0.014606763690130845,0.5256410256410257,0.9767675764429479
INFY,5,0.012150391664086595,0.01684259006395846,0.44017094017094016,-1.4890634206731106
MM,2,0.014798600730092063,0.020110894951469158,0.5170940170940171,0.376538313310931
MM,3,0.01116020873825746,0.014872216094810663,0.45726495726495725,0.2322860977389488
MM,4,0.015145691221017162,0.019884660136890577,0.5299145299145299,2.240448170169589
MM,5,0.014463129744169183,0.018923988840964218,0.5384615384615384,0.7581493616337867
BHARTIARTL,2,0.01154749746302985,0.015152312933622972,0.5683760683760684,1.875247889985349
BHARTIARTL,3,0.00924482011080261,0.012067318212265156,0.47863247863247865,0.2835751909255921
BHARTIARTL,4,0.010789958195766692,0.01459933377032273,0.49572649572649574,2.084816386164783
BHARTIARTL,5,0.010361024002268203,0.013858190442151875,0.4829059829059829,0.19359997354136824
HUL,2,0.012398969201787105,0.01611090665149049,0.5042735042735043,0.7945930845238287
HUL,3,0.007746111272917374,0.010185160096330477,0.49145299145299143,0.43209994776478333
HUL,4,0.008785340374750705,0.012803322514505108,0.49145299145299143,-0.00625121397675563
HUL,5,0.009620911064843134,0.012887226819606322,0.5256410256410257,0.7427297640490873
