Date,portfolio_return,w_RELIANCE,ret_RELIANCE,w_HDFCBANK,ret_HDFCBANK,w_INFY,ret_INFY,w_MM,ret_MM,w_BHARTIARTL,ret_BHARTIARTL,w_HUL,ret_HUL,cum_return
2025-10-01,0.011357107489651432,0.0,0.0034397891389933,0.3333333333333333,0.0148730725989553,0.0,0.0027704750883029,0.3333333333333333,0.0105654944467992,0.0,-0.0057661926066861,0.3333333333333333,0.0086327554231998,0.011357107489651463
2025-10-03,0.00151007662741665,0.0,-0.0038797507069664,0.0,-0.0001035801748471,0.0,0.0005531066022995,0.5,-0.0004042805852534,0.0,0.0154613372221943,0.5,0.0034244338400867,0.012884334219643412
2025-10-06,0.0034094831528037,0.0,0.0084721332652372,0.3333333333333333,0.008562919995388,0.0,0.0201198070964387,0.3333333333333333,0.0028843400440861,0.0,0.0033686144478553,0.3333333333333333,-0.001218810581063,0.016337746292904187
2025-10-07,0.0018338147194818326,0.0,0.0071020290213827,0.3333333333333333,0.0092538687785297,0.0,-0.0119272653074589,0.3333333333333333,0.0059729239950895,0.0,0.0135176112113231,0.3333333333333333,-0.0097253486151737,0.018201521412021027
2025-10-08,-0.009951990616294933,0.0,-0.0126446157879933,0.3333333333333333,-0.0038751708389428,0.0,0.0247177344014409,0.3333333333333333,-0.0191643887494519,0.0,0.0074887373865487,0.3333333333333333,-0.0068164122604901,0.008068389425431421
2025-10-09,0.0044227102028003,0.25,0.0075769152642301,0.25,-0.0016361969404239,0.0,0.0095198196789943,0.25,0.0047747790883242,0.0,-0.0007721014410075,0.25,0.0069753433990708,0.012526783776463768
2025-10-10,0.0039788276456711,0.0,0.0028265301251662,0.0,0.0038815664956709,0.0,0.0037034224255821,0.5,0.003479373842623,0.0,-0.0010819319289929,0.5,0.0044782814487192,0.01655545333573616
2025-10-13,0.0013883810201203,0.0,-0.0048608586227859,0.0,-0.0039838904169379,0.0,-0.014428041838735,1.0,0.0013883810201203,0.0,0.0077026157824468,0.0,-0.0143778202649555,0.01796681963304736
2025-10-14,0.0013287526743557484,0.0,0.0006543490771665,0.3333333333333333,0.0001535444182717,0.0,-0.0022123824698756,0.3333333333333333,2.8932048921845924e-05,0.0,-0.0042548052542308,0.3333333333333333,0.0038037815558737,0.019319445767040255
2025-10-15,0.006176174333129433,0.0,-0.0011635340875813,0.3333333333333333,0.0011250646294673,0.0,-0.0104578378097807,0.3333333333333333,0.0107518363188058,0.0,0.0111875829332991,0.3333333333333333,0.0066516220511152,0.025614940365246364
