Date,HCLTECH.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JINDALSTEL.NS,KOTAKBANK.NS,NESTLEIND.NS,TATASTEEL.NS,TCS.NS
2021-03-01,760.5767822265625,738.2760620117188,332.0802001953125,1971.08203125,588.3885498046875,1115.3658447265625,162.6466064453125,340.5865783691406,367.54449462890625,770.1901245117188,62.87849426269531,2570.59716796875
2021-03-02,779.706787109375,742.6803588867188,333.1900329589844,2002.854736328125,590.4679565429688,1148.3779296875,165.00491333007812,333.58551025390625,367.3951110839844,783.6013793945312,63.317543029785156,2642.813232421875
2021-03-03,789.1082153320312,751.5128173828125,346.79754638671875,2017.154052734375,611.3591918945312,1182.7545166015625,165.0442352294922,344.67877197265625,378.3194885253906,789.4207153320312,66.90309143066406,2689.1845703125
2021-03-04,783.1810913085938,735.0320434570312,337.2432861328125,2020.28125,600.3817138671875,1171.134033203125,164.8477020263672,331.85992431640625,377.9609680175781,787.6503295898438,65.25020599365234,2680.92138671875
2021-03-05,769.6920166015625,724.58935546875,326.04852294921875,2024.1434326171875,589.4524536132812,1159.1175537109375,163.94366455078125,317.85784912109375,382.9003601074219,793.3751220703125,63.12815856933594,2644.307861328125
2021-03-08,786.3694458007812,719.6165771484375,324.8421630859375,1999.728271484375,588.0984497070312,1175.8878173828125,163.51132202148438,319.5341491699219,381.5758972167969,796.6627807617188,63.468196868896484,2643.340576171875
2021-03-09,795.5665283203125,739.9810180664062,321.6091613769531,2021.75244140625,604.5889282226562,1184.51513671875,163.3540802001953,308.490234375,394.14337158203125,799.4213256835938,60.8425178527832,2682.02001953125
2021-03-10,808.1154174804688,736.7843017578125,328.461181640625,2048.742919921875,605.0725708007812,1204.41015625,162.33213806152344,315.8857116699219,391.1558532714844,800.3973999023438,62.370574951171875,2699.601318359375
2021-03-12,800.5533447265625,734.984619140625,318.6657409667969,2027.5001220703125,592.7408447265625,1210.308349609375,161.31019592285156,313.2232971191406,385.4198303222656,790.5173950195312,61.978878021240234,2688.17333984375
2021-03-15,811.2628173828125,723.9500122070312,322.1399841308594,2033.1097412109375,583.6976318359375,1209.2078857421875,161.50674438476562,321.55560302734375,382.1335754394531,795.7459106445312,63.39501953125,2695.381591796875
2021-03-16,823.4439086914062,716.1358032226562,322.23651123046875,2063.640625,575.42822265625,1218.3634033203125,163.3933868408203,319.0411071777344,379.0563659667969,791.4392700195312,62.33184051513672,2733.97412109375
2021-03-17,807.2569580078125,708.1795043945312,314.99847412109375,2047.3172607421875,570.1571044921875,1221.00439453125,165.55517578125,304.44732666015625,372.11541748046875,777.9097290039062,60.64021682739258,2736.52294921875
2021-03-18,774.8016357421875,706.1194458007812,320.2098083496094,2037.10986328125,559.61474609375,1177.076171875,171.09730529785156,305.0389709472656,364.55694580078125,765.87890625,60.678951263427734,2669.3173828125
2021-03-19,785.1841430664062,709.1978149414062,323.3945617675781,2126.173583984375,567.4005737304688,1183.546630859375,175.26370239257812,308.6874084472656,365.3038330078125,777.6781005859375,63.102317810058594,2681.36083984375
2021-03-22,800.1445922851562,695.7715454101562,327.8821716308594,2164.015625,554.6337280273438,1206.742919921875,177.66131591796875,316.47735595703125,363.013427734375,784.1640014648438,64.00624084472656,2751.203125
2021-03-23,801.8615112304688,710.4527587890625,320.11334228515625,2149.393798828125,567.1588134765625,1207.403564453125,174.6741180419922,311.2511901855469,361.021728515625,788.5745239257812,63.803924560546875,2762.587158203125
2021-03-24,797.6105346679688,700.3416748046875,306.6506042480469,2132.197265625,548.8789672851562,1191.7335205078125,169.76092529296875,302.6231384277344,355.0068359375,777.548095703125,60.50247573852539,2743.68701171875
2021-03-25,782.404541015625,693.0247192382812,303.0316162109375,2057.203857421875,552.7960815429688,1174.171142578125,166.34129333496094,304.94036865234375,351.11309814453125,764.40625,62.254356384277344,2694.23876953125
2021-03-26,783.6307983398438,706.261474609375,315.7222595214844,2131.553466796875,559.5663452148438,1176.2838134765625,165.79104614257812,319.6820373535156,352.7363586425781,783.3934936523438,66.0163803100586,2695.953857421875
2021-03-30,814.0833740234375,735.8133544921875,314.9019775390625,2205.9033203125,572.0430297851562,1219.5079345703125,168.6603240966797,331.7613220214844,354.76788330078125,811.43798828125,68.87019348144531,2776.60888671875
2021-03-31,803.3329467773438,707.3744506835938,315.4327392578125,2236.020751953125,562.9998168945312,1204.322265625,171.76548767089844,338.81170654296875,349.1413879394531,811.447509765625,69.89033508300781,2793.574951171875
2021-04-01,819.6423950195312,704.1066284179688,338.0153503417969,2206.225341796875,574.896240234375,1219.419677734375,172.98394775390625,365.7312316894531,359.4084777832031,807.5686645507812,74.29803466796875,2782.27783203125
2021-04-05,844.9037475585938,686.5130004882812,338.4013671875,2182.407958984375,552.5059204101562,1241.1636962890625,167.08810424804688,377.51470947265625,350.3761901855469,797.9912109375,74.70264434814453,2847.24169921875
2021-04-06,840.734375,682.0848388671875,338.2083740234375,2214.68603515625,547.3314819335938,1242.1761474609375,167.16673278808594,383.4311218261719,352.18865966796875,807.5001831054688,74.28082275390625,2869.922607421875
2021-04-07,847.9282836914062,685.3763427734375,339.8972473144531,2211.881103515625,558.6959838867188,1259.0340576171875,168.07077026367188,383.3818054199219,356.9089050292969,823.0127563476562,75.3138656616211,2875.812255859375
