date,headline,url
2023-12-31,HDFC Bank m - cap : Mcap of 8 of top - 10 most valued firms jump Rs 1 . 29 lakh cr ; HDFC Bank biggest gainer,https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-8-of-top-10-most-valued-firms-jump-rs-1-29-lakh-cr-hdfc-bank-biggest-gainer/articleshow/106415290.cms
2023-12-31,Mcap of 8 of top - 10 most valued firms jump Rs 1 . 29 lakh crore ; HDFC Bank biggest gainer,https://timesofindia.indiatimes.com/business/india-business/mcap-of-8-of-top-10-most-valued-firms-jump-rs-1-29-lakh-crore-hdfc-bank-biggest-gainer/articleshow/106415804.cms
2023-12-31,Mcap of 8 of top - 10 most valued firms jump Rs 1 . 29 lakh cr ; HDFC Bank biggest gainer,https://www.financialexpress.com/market/mcap-of-8-of-top-10-most-valued-firms-jump-rs-1-29-lakh-cr-hdfc-bank-biggest-gainer-3351796/
2023-11-05,"Mcap of nine of top - 10 most valued firms surges Rs 97 , 463 crore ; Reliance leads",https://www.moneycontrol.com/news/business/markets/mcap-of-nine-of-top-10-most-valued-firms-surges-rs-97463-crore-reliance-leads-11665501.html
2023-11-19,"TCS , Infy lead as 7 of India Inc Top 10 add Rs 1 . 50 lakh cr to market value",https://www.moneycontrol.com/news/business/markets/mcap-of-7-of-top-10-firms-swells-rs-1-50-lakh-cr-tcs-infosys-biggest-gainers-11767211.html
2023-11-19,"Mcap of 7 of top 10 firms swells Rs 1 . 50 lakh cr ; TCS , Infosys biggest gainers",https://www.financialexpress.com/market/mcap-of-7-of-top-10-firms-swells-rs-1-50-lakh-cr-tcs-infosys-biggest-gainers-3310983/
2023-11-19,"Mcap of 7 of top 10 firms swells ₹1 . 50 lakh crore ; TCS , Infosys biggest gainers",https://www.thehindubusinessline.com/markets/mcap-of-7-of-top-10-firms-swells-150-lakh-crore-tcs-infosys-biggest-gainers/article67550399.ece
2023-11-19,"M - cap of 7 of top - 10 firms swells Rs 1 . 50 lakh - crore ; TCS , Infosys biggest gainers",https://www.tribuneindia.com/news/business/m-cap-of-7-of-top-10-firms-swells-rs-1-50-lakh-crore-tcs-infosys-biggest-gainers-563844
2023-12-31,Mcap of 8 of top - 10 most valued firms jump Rs 1 . 29 lakh cr ; HDFC Bank biggest gainer,https://www.moneycontrol.com/news/business/markets/mcap-of-8-of-top-10-most-valued-firms-jump-rs-1-29-lakh-cr-hdfc-bank-biggest-gainer-11978611.html
2023-10-31,Bharti Airtel Q2 results : Profit may fall in double digits ; 30 - 50 lakh subscriber additions likely,https://www.businesstoday.in/markets/company-stock/story/bharti-airtel-q2-results-profit-may-fall-in-double-digits-30-50-lakh-subscriber-additions-likely-403867-2023-10-31
2023-11-23,"Airtel CEO pitches for shift to eSIMs : Why is it beneficial for users , telcos ? ",https://www.hindustantimes.com/technology/airtel-ceo-gopal-vittal-pitches-for-shift-to-esims-why-it-s-beneficial-for-users-telcos-101700713777012.html
2023-12-17,"tcs : Mcap of nine of top - 10 most valued firms jumps Rs 2 . 26 lakh cr ; TCS , Infosys biggest gainers",https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-nine-of-top-10-most-valued-firms-jumps-rs-2-26-lakh-cr-tcs-infosys-biggest-gainers/articleshow/106059240.cms
2023-10-31,"Bharti Airtel Q2 net profit falls 37 . 5 per cent to Rs 1 , 341 crore",https://www.dailypioneer.com/2023/business/bharti-airtel-q2-net-profit-falls-37-5-per-cent-to-rs-1-341-crore.html
