label,k,TE_val,IR_val,TE_hold,IR_hold,alpha
Lasso,9,0.30427721977051525,0.20803549711037797,0.17806170175471775,0.5250343727824668,0.0002030917620904735
Lasso,10,0.28947355248865964,0.3034301413840326,0.18523180866591263,0.8125293201709687,0.00017012542798525892
Lasso,14,0.2632094202478094,0.25173011863650313,0.1663007237912868,0.8187707726366465,0.00014251026703029977
Lasso,15,0.23594912224959508,0.1265458709360824,0.14235776784132184,0.6994130018531115,0.00011937766417144369
Lasso,19,0.2108390966027259,0.08976530313595285,0.12511092482872319,0.4027906959571979,0.0001
