Ticker,HCLTECH.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JINDALSTEL.NS,KOTAKBANK.NS,NESTLEIND.NS,TATASTEEL.NS,TCS.NS
HCLTECH.NS,0.0053857959123375185,0.0005683107059634219,0.0008347369115213911,0.001682855085709816,-1.7506393183000096e-05,0.0036299382598002946,0.0010337467804788355,-0.0004670453515742158,0.0002540204234537719,0.001300059330703526,0.00019820144511146207,0.002992480947024104
HDFCBANK.NS,0.0005683107059634219,0.0025425296722490203,0.0022184590840164716,0.0010902947227618288,0.0010541337927613254,0.00035886939940407047,0.000857389849933015,0.0009997178077774853,0.00119629243728356,0.0012626673304031786,0.0011477831446534738,0.0008917744487574709
HINDALCO.NS,0.0008347369115213911,0.0022184590840164716,0.010347356517940883,0.0009993964018707485,0.0022268634764697343,0.0008482408330052347,0.000524486509656471,0.007058028676404544,0.0016291060800857128,0.0014024250062193344,0.007449783636703554,0.0006145999107321311
HINDUNILVR.NS,0.001682855085709816,0.0010902947227618288,0.0009993964018707485,0.004399255133227667,0.0006657545283883026,0.0014767132220977197,0.0013084815929478826,-0.0010470893291346965,0.0013141471559302024,0.002008788812252801,0.0008067751046483331,0.0020743531821222193
ICICIBANK.NS,-1.7506393183000096e-05,0.0010541337927613254,0.0022268634764697343,0.0006657545283883026,0.0029771790831192445,0.0003665030976322479,0.0006674798503764239,0.0017246029469463581,0.001274773538920161,0.0010172153412365153,0.002284273817979085,0.0003392082111581437
INFY.NS,0.0036299382598002946,0.00035886939940407047,0.0008482408330052347,0.0014767132220977197,0.0003665030976322479,0.0050954156348552,0.0006688635561781911,0.00032522615397712946,-0.00034690201331521303,0.00037382300954477894,0.0009545942557788101,0.003031318031703235
ITC.NS,0.0010337467804788355,0.000857389849933015,0.000524486509656471,0.0013084815929478826,0.0006674798503764239,0.0006688635561781911,0.003455575759829074,0.00010246233004782122,0.0013159887347167164,0.0009544622137253173,-0.00015796824581709991,0.001184828378822281
JINDALSTEL.NS,-0.0004670453515742158,0.0009997178077774853,0.007058028676404544,-0.0010470893291346965,0.0017246029469463581,0.00032522615397712946,0.00010246233004782122,0.0122454293081778,0.00014227915786483748,0.00014052237689576568,0.008023900498683656,-0.0006832473948740075
KOTAKBANK.NS,0.0002540204234537719,0.00119629243728356,0.0016291060800857128,0.0013141471559302024,0.001274773538920161,-0.00034690201331521303,0.0013159887347167164,0.00014227915786483748,0.0031549501015705485,0.001471836752842959,0.00045277585726870013,0.000359898279017881
NESTLEIND.NS,0.001300059330703526,0.0012626673304031786,0.0014024250062193344,0.002008788812252801,0.0010172153412365153,0.00037382300954477894,0.0009544622137253173,0.00014052237689576568,0.001471836752842959,0.003091913196544671,0.0013890491166639435,0.0013167159752620072
TATASTEEL.NS,0.00019820144511146207,0.0011477831446534738,0.007449783636703554,0.0008067751046483331,0.002284273817979085,0.0009545942557788101,-0.00015796824581709991,0.008023900498683656,0.00045277585726870013,0.0013890491166639435,0.009423721189278937,0.00022867957187613696
TCS.NS,0.002992480947024104,0.0008917744487574709,0.0006145999107321311,0.0020743531821222193,0.0003392082111581437,0.003031318031703235,0.001184828378822281,-0.0006832473948740075,0.000359898279017881,0.0013167159752620072,0.00022867957187613696,0.003868044908227018
